Anagha Sudhir Karne,n443_HkAAAAJ,https://scholar.google.com/citations?user=n443_HkAAAAJ&hl=en,CAP/EOM-CCSD method for the study of potential curves of resonant states
Anagha Sudhir Karne,n443_HkAAAAJ,https://scholar.google.com/citations?user=n443_HkAAAAJ&hl=en,"Systematic comparison of DFT and CCSD dipole moments, polarizabilities and hyperpolarizabilities"
Anagha Sudhir Karne,n443_HkAAAAJ,https://scholar.google.com/citations?user=n443_HkAAAAJ&hl=en,"Corrigendum to"" Systematic comparison of DFT and CCSD dipole moments, polarizabilities and hyperpolarizabilities""[Chem. Phys. Lett. 635 (2015) 168-173]"
Dr Swati C Jagdale,kpeEeHwAAAAJ,https://scholar.google.com/citations?user=kpeEeHwAAAAJ&hl=en,Formulation and evaluation of gastroretentive drug delivery system of propranolol hydrochloride
Dr Swati C Jagdale,kpeEeHwAAAAJ,https://scholar.google.com/citations?user=kpeEeHwAAAAJ&hl=en,"Antihyperglycemic, antistress and nootropic activity of roots of Rubia cordifolia Linn"
Dr Swati C Jagdale,kpeEeHwAAAAJ,https://scholar.google.com/citations?user=kpeEeHwAAAAJ&hl=en,Preparation and characterization of Metformin hydrochloride− Compritol 888 ATO solid dispersion
Dr Swati C Jagdale,kpeEeHwAAAAJ,https://scholar.google.com/citations?user=kpeEeHwAAAAJ&hl=en,Gellified emulsion of ofloxacin for transdermal drug delivery system
Dr Swati C Jagdale,kpeEeHwAAAAJ,https://scholar.google.com/citations?user=kpeEeHwAAAAJ&hl=en,Antibacterial activity of isolated constituents and extract of roots of Inula racemosa.
Dr Swati C Jagdale,kpeEeHwAAAAJ,https://scholar.google.com/citations?user=kpeEeHwAAAAJ&hl=en,Optimization of Thermoreversible In Situ Nasal Gel of Timolol Maleate
Dr Swati C Jagdale,kpeEeHwAAAAJ,https://scholar.google.com/citations?user=kpeEeHwAAAAJ&hl=en,Antibacterial activity of extracts of Piper longum.
Dr Swati C Jagdale,kpeEeHwAAAAJ,https://scholar.google.com/citations?user=kpeEeHwAAAAJ&hl=en,Simultaneous HPTLC estimation of telmisartan and amlodipine besylate in tablet dosage form
Dr Swati C Jagdale,kpeEeHwAAAAJ,https://scholar.google.com/citations?user=kpeEeHwAAAAJ&hl=en,"Development of press-coated, floating-pulsatile drug delivery of lisinopril"
Dr Swati C Jagdale,kpeEeHwAAAAJ,https://scholar.google.com/citations?user=kpeEeHwAAAAJ&hl=en,Formulation and evaluation of chewable tablet of levamisole
Sarika Bobde,8lPOkXcAAAAJ,https://scholar.google.com/citations?user=8lPOkXcAAAAJ&hl=en,Stock market forecasting techniques: literature survey
Sarika Bobde,8lPOkXcAAAAJ,https://scholar.google.com/citations?user=8lPOkXcAAAAJ&hl=en,Stock market prediction using hybrid approach
Sarika Bobde,8lPOkXcAAAAJ,https://scholar.google.com/citations?user=8lPOkXcAAAAJ&hl=en,Fruit quality recognition using deep learning algorithm
Sarika Bobde,8lPOkXcAAAAJ,https://scholar.google.com/citations?user=8lPOkXcAAAAJ&hl=en,TinyML applications and use cases for healthcare
Sarika Bobde,8lPOkXcAAAAJ,https://scholar.google.com/citations?user=8lPOkXcAAAAJ&hl=en,Emotion recognition and reaction prediction in videos
Sarika Bobde,8lPOkXcAAAAJ,https://scholar.google.com/citations?user=8lPOkXcAAAAJ&hl=en,Restructuring of object-oriented software system using clustering techniques
Sarika Bobde,8lPOkXcAAAAJ,https://scholar.google.com/citations?user=8lPOkXcAAAAJ&hl=en,Fractal image compression using genetic algorithm
Sarika Bobde,8lPOkXcAAAAJ,https://scholar.google.com/citations?user=8lPOkXcAAAAJ&hl=en,Software restructuring models for object oriented programming languages using the fuzzy based clustering algorithm
Sarika Bobde,8lPOkXcAAAAJ,https://scholar.google.com/citations?user=8lPOkXcAAAAJ&hl=en,"A review on predicting failure in industrial machines: Its methods, challenges and future direction"
