FacultyID,ScholarName,Title,ScholarID,ProfileLink
F074,Anagha Sudhir Karne,CAP/EOM-CCSD method for the study of potential curves of resonant states,n443_HkAAAAJ,https://scholar.google.com/citations?user=n443_HkAAAAJ&hl=en
F074,Anagha Sudhir Karne,"Systematic comparison of DFT and CCSD dipole moments, polarizabilities and hyperpolarizabilities",n443_HkAAAAJ,https://scholar.google.com/citations?user=n443_HkAAAAJ&hl=en
F074,Anagha Sudhir Karne,"Corrigendum to"" Systematic comparison of DFT and CCSD dipole moments, polarizabilities and hyperpolarizabilities""[Chem. Phys. Lett. 635 (2015) 168-173]",n443_HkAAAAJ,https://scholar.google.com/citations?user=n443_HkAAAAJ&hl=en
F083,Dr Swati C Jagdale,Formulation and evaluation of gastroretentive drug delivery system of propranolol hydrochloride,kpeEeHwAAAAJ,https://scholar.google.com/citations?user=kpeEeHwAAAAJ&hl=en
F083,Dr Swati C Jagdale,"Antihyperglycemic, antistress and nootropic activity of roots of Rubia cordifolia Linn",kpeEeHwAAAAJ,https://scholar.google.com/citations?user=kpeEeHwAAAAJ&hl=en
F083,Dr Swati C Jagdale,Preparation and characterization of Metformin hydrochloride− Compritol 888 ATO solid dispersion,kpeEeHwAAAAJ,https://scholar.google.com/citations?user=kpeEeHwAAAAJ&hl=en
F083,Dr Swati C Jagdale,Gellified emulsion of ofloxacin for transdermal drug delivery system,kpeEeHwAAAAJ,https://scholar.google.com/citations?user=kpeEeHwAAAAJ&hl=en
F083,Dr Swati C Jagdale,Antibacterial activity of isolated constituents and extract of roots of Inula racemosa.,kpeEeHwAAAAJ,https://scholar.google.com/citations?user=kpeEeHwAAAAJ&hl=en
F083,Dr Swati C Jagdale,Optimization of Thermoreversible In Situ Nasal Gel of Timolol Maleate,kpeEeHwAAAAJ,https://scholar.google.com/citations?user=kpeEeHwAAAAJ&hl=en
F083,Dr Swati C Jagdale,Antibacterial activity of extracts of Piper longum.,kpeEeHwAAAAJ,https://scholar.google.com/citations?user=kpeEeHwAAAAJ&hl=en
F083,Dr Swati C Jagdale,Simultaneous HPTLC estimation of telmisartan and amlodipine besylate in tablet dosage form,kpeEeHwAAAAJ,https://scholar.google.com/citations?user=kpeEeHwAAAAJ&hl=en
F083,Dr Swati C Jagdale,"Development of press-coated, floating-pulsatile drug delivery of lisinopril",kpeEeHwAAAAJ,https://scholar.google.com/citations?user=kpeEeHwAAAAJ&hl=en
F083,Dr Swati C Jagdale,Formulation and evaluation of chewable tablet of levamisole,kpeEeHwAAAAJ,https://scholar.google.com/citations?user=kpeEeHwAAAAJ&hl=en
F089,Sarika Bobde,Stock market forecasting techniques: literature survey,8lPOkXcAAAAJ,https://scholar.google.com/citations?user=8lPOkXcAAAAJ&hl=en
F089,Sarika Bobde,Stock market prediction using hybrid approach,8lPOkXcAAAAJ,https://scholar.google.com/citations?user=8lPOkXcAAAAJ&hl=en
F089,Sarika Bobde,Fruit quality recognition using deep learning algorithm,8lPOkXcAAAAJ,https://scholar.google.com/citations?user=8lPOkXcAAAAJ&hl=en
F089,Sarika Bobde,TinyML applications and use cases for healthcare,8lPOkXcAAAAJ,https://scholar.google.com/citations?user=8lPOkXcAAAAJ&hl=en
F089,Sarika Bobde,Emotion recognition and reaction prediction in videos,8lPOkXcAAAAJ,https://scholar.google.com/citations?user=8lPOkXcAAAAJ&hl=en
F089,Sarika Bobde,Restructuring of object-oriented software system using clustering techniques,8lPOkXcAAAAJ,https://scholar.google.com/citations?user=8lPOkXcAAAAJ&hl=en
F089,Sarika Bobde,Fractal image compression using genetic algorithm,8lPOkXcAAAAJ,https://scholar.google.com/citations?user=8lPOkXcAAAAJ&hl=en
F089,Sarika Bobde,Software restructuring models for object oriented programming languages using the fuzzy based clustering algorithm,8lPOkXcAAAAJ,https://scholar.google.com/citations?user=8lPOkXcAAAAJ&hl=en
F089,Sarika Bobde,"A review on predicting failure in industrial machines: Its methods, challenges and future direction",8lPOkXcAAAAJ,https://scholar.google.com/citations?user=8lPOkXcAAAAJ&hl=en
F089,Sarika Bobde,Malaria cell image classification using autoencoder,8lPOkXcAAAAJ,https://scholar.google.com/citations?user=8lPOkXcAAAAJ&hl=en
F146,Vijayapandi Pandy,Pharmacology and toxicology of α-and β-Asarone: A review of preclinical evidence,QCRlCDgAAAAJ,https://scholar.google.com/citations?user=QCRlCDgAAAAJ&hl=en
F146,Vijayapandi Pandy,"Phytochemical Analysis, Antioxidant, Antistress, and Nootropic Activities of Aqueous and Methanolic Seed Extracts of Ladies Finger (Abelmoschus esculentus L.) in …",QCRlCDgAAAAJ,https://scholar.google.com/citations?user=QCRlCDgAAAAJ&hl=en
F146,Vijayapandi Pandy,Antipsychotic-like activity of Noni (Morinda citrifolia Linn.) in mice,QCRlCDgAAAAJ,https://scholar.google.com/citations?user=QCRlCDgAAAAJ&hl=en
F146,Vijayapandi Pandy,Effect of Noni (Morinda citrifolia Linn.) Fruit and Its Bioactive Principles Scopoletin and Rutin on Rat Vas Deferens Contractility: An Ex Vivo Study,QCRlCDgAAAAJ,https://scholar.google.com/citations?user=QCRlCDgAAAAJ&hl=en
F146,Vijayapandi Pandy,What has come out from phytomedicines and herbal edibles for the treatment of cancer?,QCRlCDgAAAAJ,https://scholar.google.com/citations?user=QCRlCDgAAAAJ&hl=en
F146,Vijayapandi Pandy,Rodent models for nicotine withdrawal,QCRlCDgAAAAJ,https://scholar.google.com/citations?user=QCRlCDgAAAAJ&hl=en
F146,Vijayapandi Pandy,Protective effect of mangiferin on memory impairment: A systematic review,QCRlCDgAAAAJ,https://scholar.google.com/citations?user=QCRlCDgAAAAJ&hl=en
F146,Vijayapandi Pandy,MicroRNA expression signature of methamphetamine use and addiction in the rat nucleus accumbens,QCRlCDgAAAAJ,https://scholar.google.com/citations?user=QCRlCDgAAAAJ&hl=en
F146,Vijayapandi Pandy,"Cancer chemotherapy-induced nausea and vomiting: role of mediators, development of drugs and treatment methods",QCRlCDgAAAAJ,https://scholar.google.com/citations?user=QCRlCDgAAAAJ&hl=en
F146,Vijayapandi Pandy,Mitragyna speciosa Leaf Extract Exhibits Antipsychotic-Like Effect with the Potential to Alleviate Positive and Negative Symptoms of Psychosis in Mice,QCRlCDgAAAAJ,https://scholar.google.com/citations?user=QCRlCDgAAAAJ&hl=en
F204,Nidhi Gupta,Dividend Dynamics and Shareholders’ Wealth: An Empirical Investigation based on NSE100 companies,7VdkFYoAAAAJ,https://scholar.google.com/citations?user=7VdkFYoAAAAJ&hl=en
F204,Nidhi Gupta,Exploring the Impact of Foreign Ownership and Ownership Concentration on Firm Performance: Evidence from Indian Manufacturing Firms,7VdkFYoAAAAJ,https://scholar.google.com/citations?user=7VdkFYoAAAAJ&hl=en
F228,Abhishek Mukherjee,Plasmonic Au Nanoparticles Coated on ReS2 Nanosheets for Visible-Near-Infrared Photodetectors,Ol8FQY0AAAAJ,https://scholar.google.com/citations?user=Ol8FQY0AAAAJ&hl=en
F228,Abhishek Mukherjee,GAGA for nonreciprocal emitters: genetic algorithm gradient ascent optimization of compact magnetophotonic crystals,Ol8FQY0AAAAJ,https://scholar.google.com/citations?user=Ol8FQY0AAAAJ&hl=en
F228,Abhishek Mukherjee,Thermal and Dimensional Stability of Photocatalytic Material ZnPS3 Under Extreme Environmental Conditions,Ol8FQY0AAAAJ,https://scholar.google.com/citations?user=Ol8FQY0AAAAJ&hl=en
F228,Abhishek Mukherjee,Synergistic Effects of Defects and Strain on Photoluminescence in Van der Waals Layered Crystal AgScP₂S₆,Ol8FQY0AAAAJ,https://scholar.google.com/citations?user=Ol8FQY0AAAAJ&hl=en
F228,Abhishek Mukherjee,Electrically tunable guided mode resonance grating for switchable photoluminescence,Ol8FQY0AAAAJ,https://scholar.google.com/citations?user=Ol8FQY0AAAAJ&hl=en
F228,Abhishek Mukherjee,Large Transverse Thermoelectric Effect in Weyl Semimetal TaIrTe Engineered for Photodetection,Ol8FQY0AAAAJ,https://scholar.google.com/citations?user=Ol8FQY0AAAAJ&hl=en
F228,Abhishek Mukherjee,Dynamically-tunable nonreciprocal epsilon-near-zero photonic platform enabled by current-biased Dirac semimetals,Ol8FQY0AAAAJ,https://scholar.google.com/citations?user=Ol8FQY0AAAAJ&hl=en
F228,Abhishek Mukherjee,Strain and Defect Contributions towards Photoluminescence in AgScP₂S₆,Ol8FQY0AAAAJ,https://scholar.google.com/citations?user=Ol8FQY0AAAAJ&hl=en
F228,Abhishek Mukherjee,Optical Characterisation of Strain and Defects in 2D Photonic Materials,Ol8FQY0AAAAJ,https://scholar.google.com/citations?user=Ol8FQY0AAAAJ&hl=en
F228,Abhishek Mukherjee,Period doubling perturbations for absorptive and emissive switching,Ol8FQY0AAAAJ,https://scholar.google.com/citations?user=Ol8FQY0AAAAJ&hl=en
F339,Dr. Vinaya Gohokar,A comparative analysis of fuzzy c-means clustering and k means clustering algorithms,T9i37YkAAAAJ,https://scholar.google.com/citations?user=T9i37YkAAAAJ&hl=en
F339,Dr. Vinaya Gohokar,Detection and classification of pests in greenhouse using image processing,T9i37YkAAAAJ,https://scholar.google.com/citations?user=T9i37YkAAAAJ&hl=en
F339,Dr. Vinaya Gohokar,Precision agriculture system design using wireless sensor network,T9i37YkAAAAJ,https://scholar.google.com/citations?user=T9i37YkAAAAJ&hl=en
F339,Dr. Vinaya Gohokar,Speech emotion recognition by using SVM-classifier,T9i37YkAAAAJ,https://scholar.google.com/citations?user=T9i37YkAAAAJ&hl=en
F339,Dr. Vinaya Gohokar,Parking guidance system using Internet of Things,T9i37YkAAAAJ,https://scholar.google.com/citations?user=T9i37YkAAAAJ&hl=en
F339,Dr. Vinaya Gohokar,Comparative performance analysis of optical flow algorithms for anomaly detection,T9i37YkAAAAJ,https://scholar.google.com/citations?user=T9i37YkAAAAJ&hl=en
F339,Dr. Vinaya Gohokar,Object detection and tracking in video sequences,T9i37YkAAAAJ,https://scholar.google.com/citations?user=T9i37YkAAAAJ&hl=en
F339,Dr. Vinaya Gohokar,Information and Communication Technology,T9i37YkAAAAJ,https://scholar.google.com/citations?user=T9i37YkAAAAJ&hl=en
F339,Dr. Vinaya Gohokar,Comparative analysis of YOLOv8 and YOLOv9 models for real-time plant disease detection in hydroponics,T9i37YkAAAAJ,https://scholar.google.com/citations?user=T9i37YkAAAAJ&hl=en
F339,Dr. Vinaya Gohokar,Simulation of convolutional encoder,T9i37YkAAAAJ,https://scholar.google.com/citations?user=T9i37YkAAAAJ&hl=en
F389,Manisha Kumawat,Development of Adaptive Time weighted Dynamic Time warping for time series vegetation classification using satellite images,n_7I_UAAAAAJ,https://scholar.google.com/citations?user=n_7I_UAAAAAJ&hl=en
F389,Manisha Kumawat,Land cover change detection using TIMESAT software and machine learning algorithms near Ujani Dam: A case study,n_7I_UAAAAAJ,https://scholar.google.com/citations?user=n_7I_UAAAAAJ&hl=en
F389,Manisha Kumawat,Time-Variant Satellite Vegetation Classification Enabled by Hybrid Metaheuristic-Based Adaptive Time-Weighted Dynamic Time Warping,n_7I_UAAAAAJ,https://scholar.google.com/citations?user=n_7I_UAAAAAJ&hl=en
F389,Manisha Kumawat,Dynamic Traffic Signal Control for Intelligent Cross-Junction Traffic Management,n_7I_UAAAAAJ,https://scholar.google.com/citations?user=n_7I_UAAAAAJ&hl=en
F389,Manisha Kumawat,From Signs to Speech: An End-to-End Conversational Platform for Deaf and Mute Individuals Using GRU and LLM Integration,n_7I_UAAAAAJ,https://scholar.google.com/citations?user=n_7I_UAAAAAJ&hl=en
F389,Manisha Kumawat,"Predict, Prevent, Personalize: A Machine Learning Approach to Heart Attack Risk and Dietary Planning",n_7I_UAAAAAJ,https://scholar.google.com/citations?user=n_7I_UAAAAAJ&hl=en
F389,Manisha Kumawat,FROM SENSORS TO INSIGHTS: A SCOPING REVIEW OF AI/ML APPLICATIONS IN WEARABLE HEALTH MONITORING FOR DIABETES,n_7I_UAAAAAJ,https://scholar.google.com/citations?user=n_7I_UAAAAAJ&hl=en
F389,Manisha Kumawat,Machine Learning-Based Predictive Modeling for Diabetes and Anemia,n_7I_UAAAAAJ,https://scholar.google.com/citations?user=n_7I_UAAAAAJ&hl=en
F389,Manisha Kumawat,User-Centric Sensor Array for Real-Time Air Pollutant Surveillance,n_7I_UAAAAAJ,https://scholar.google.com/citations?user=n_7I_UAAAAAJ&hl=en
F389,Manisha Kumawat,A SELF-DRIVEN ACTION TAKING ROBOT INTEGRATED WITH A MULTIPURPOSE DRONE,n_7I_UAAAAAJ,https://scholar.google.com/citations?user=n_7I_UAAAAAJ&hl=en
F406,Dr. Satish Polshettiwar,Spectrophotometric estimation of total tannins in some ayurvedic eye drops.,JbGLD_gAAAAJ,https://scholar.google.com/citations?user=JbGLD_gAAAAJ&hl=en
F406,Dr. Satish Polshettiwar,Herbal medicine and its standardization,JbGLD_gAAAAJ,https://scholar.google.com/citations?user=JbGLD_gAAAAJ&hl=en
F406,Dr. Satish Polshettiwar,Formulation and evaluation of in vitro antimicrobial activity of gel containing essential oils and effect of polymer on their antimicrobial activity,JbGLD_gAAAAJ,https://scholar.google.com/citations?user=JbGLD_gAAAAJ&hl=en
F406,Dr. Satish Polshettiwar,Controlled Release System A Review,JbGLD_gAAAAJ,https://scholar.google.com/citations?user=JbGLD_gAAAAJ&hl=en
F406,Dr. Satish Polshettiwar,Current status in buccal drug delivery system,JbGLD_gAAAAJ,https://scholar.google.com/citations?user=JbGLD_gAAAAJ&hl=en
